tweets	occ
0	208
1	53
2	36
3	26
4	24
5	16
6	14
7	22
8	9
9	11
10	17
11	12
12	10
13	10
14	10
15	7
16	9
17	7
18	9
19	8
20	4
21	11
22	10
23	6
24	4
25	6
26	6
27	5
28	5
29	9
30	4
31	5
32	4
33	5
34	8
35	3
36	9
37	8
38	8
39	6
40	8
41	7
42	12
43	11
44	16
45	6
46	11
47	12
48	13
49	6
50	10
51	7
52	7
53	14
54	9
55	13
56	17
57	13
58	7
59	3
60	9
61	15
62	10
63	8
64	13
65	7
66	5
67	7
68	12
69	6
70	11
71	10
72	6
73	7
74	9
75	10
76	8
77	8
78	9
79	6
80	10
81	5
82	5
83	11
84	10
85	4
86	13
87	12
88	10
89	9
90	16
91	11
92	13
93	18
94	15
95	13
96	9
97	13
98	15
99	7
100	10
101	10
102	7
103	11
104	8
105	12
106	5
107	17
108	13
109	16
110	12
111	11
112	12
113	7
114	8
115	11
116	9
117	13
118	10
119	15
120	11
121	9
122	11
123	7
124	6
125	10
126	11
127	7
128	4
129	7
130	6
131	7
132	11
133	3
134	8
135	6
136	8
137	7
138	7
139	10
140	6
141	6
142	7
143	5
144	5
145	12
146	9
147	6
148	6
149	2
150	6
151	4
152	4
153	6
154	3
155	9
156	4
157	6
158	5
159	2
160	7
161	5
162	1
163	2
164	2
165	2
166	7
167	2
168	4
169	4
170	6
171	7
172	8
173	4
174	9
175	8
176	10
177	3
178	7
179	4
180	6
181	6
182	5
183	3
184	5
185	1
186	1
187	1
188	9
189	7
190	2
191	5
192	4
193	4
194	3
195	3
196	2
197	7
198	4
200	4
202	2
203	3
204	1
205	3
206	3
208	3
209	4
210	3
211	3
212	1
213	2
214	4
215	1
216	4
217	5
218	1
219	4
220	4
221	1
222	2
223	4
224	2
225	4
226	2
227	1
228	3
229	2
230	2
232	1
233	2
235	2
236	4
237	2
238	1
239	1
240	4
241	2
242	3
243	3
244	3
245	5
246	1
247	1
248	3
249	1
250	5
251	3
252	4
253	3
254	1
256	3
257	5
258	2
259	2
260	2
261	3
262	2
264	3
266	4
267	3
268	3
271	3
272	4
273	1
274	2
275	3
276	1
278	2
279	2
280	3
282	2
283	1
285	1
287	2
290	3
291	2
293	2
294	2
295	2
296	2
297	3
298	1
299	2
300	1
301	1
302	2
304	2
305	3
306	2
307	1
308	3
309	2
310	1
312	2
314	2
315	2
316	1
317	1
320	1
321	1
322	2
323	1
324	2
325	1
329	1
330	1
331	4
332	1
334	1
2383	1
336	1
338	1
339	1
340	2
342	2
343	1
344	2
347	1
348	1
349	1
350	1
353	2
355	1
356	1
357	1
359	1
360	1
361	1
362	2
363	1
371	1
372	1
373	1
374	1
377	1
380	1
383	1
385	1
388	1
390	1
393	1
395	1
397	1
398	1
402	1
403	1
404	1
406	1
408	1
409	1
411	2
413	1
417	1
420	1
422	1
430	1
432	1
434	2
436	1
437	1
442	1
445	2
446	1
447	1
451	2
456	1
457	1
466	1
467	1
471	1
476	1
480	1
487	1
493	1
494	1
496	1
499	1
501	1
504	2
506	1
508	1
509	1
511	1
525	2
526	1
543	1
561	1
562	1
565	1
566	1
570	1
582	1
585	1
588	1
591	1
593	1
595	1
596	1
604	1
606	1
615	1
624	2
628	1
637	2
638	1
639	1
647	1
648	1
649	1
653	1
660	1
663	1
677	1
681	1
685	1
691	1
702	1
717	1
732	1
772	1
784	1
815	1
833	1
874	1
881	1
902	1
948	1
1020	1
1023	1
1050	1
1071	1
1120	1
1267	1
1401	1
1649	1
335	1
3068	1
